Name,Tier,Size,Family,Series,vCPUs,MemoryGB,Generation,Architecture
Standard_D4lds_v7,Standard,D4lds_v7,GeneralPurpose,Dldsv7,4,8,7,Intel
Standard_D4ls_v5,Standard,D4ls_v5,GeneralPurpose,DLSv5,4,8,5,Intel
Standard_D4ls_v6,Standard,D4ls_v6,GeneralPurpose,Dlsv6,4,8,6,Intel
Standard_D4ls_v7,Standard,D4ls_v7,GeneralPurpose,Dlsv7,4,8,7,Intel
Standard_D4pds_v5,Standard,D4pds_v5,GeneralPurpose,DPDSv5,4,16,5,ARM
Standard_D4pds_v6,Standard,D4pds_v6,GeneralPurpose,Dpdsv6,4,16,6,ARM
Standard_D4plds_v5,Standard,D4plds_v5,GeneralPurpose,DPLDSv5,4,8,5,ARM
Standard_D4plds_v6,Standard,D4plds_v6,GeneralPurpose,Dpldsv6,4,8,6,ARM
Standard_D4pls_v5,Standard,D4pls_v5,GeneralPurpose,DPLSv5,4,8,5,ARM
Standard_D4pls_v6,Standard,D4pls_v6,GeneralPurpose,Dplsv6,4,8,6,ARM
Standard_D4ps_v5,Standard,D4ps_v5,GeneralPurpose,DPSv5,4,16,5,ARM
Standard_D4ps_v6,Standard,D4ps_v6,GeneralPurpose,Dpsv6,4,16,6,ARM
Standard_D4s_v3,Standard,D4s_v3,GeneralPurpose,DSv3,4,16,3,Intel
Standard_D4s_v4,Standard,D4s_v4,GeneralPurpose,DSv4,4,16,4,Intel
Standard_D4s_v5,Standard,D4s_v5,GeneralPurpose,DSv5,4,16,5,Intel
Standard_D4s_v6,Standard,D4s_v6,GeneralPurpose,Dsv6,4,16,6,Intel
Standard_D4s_v7,Standard,D4s_v7,GeneralPurpose,Dsv7,4,16,7,Intel
Standard_D4_v3,Standard,D4_v3,GeneralPurpose,Dv3,4,16,3,Intel
Standard_D4_v4,Standard,D4_v4,GeneralPurpose,Dv4,4,16,4,Intel
Standard_D4_v5,Standard,D4_v5,GeneralPurpose,Dv5,4,16,5,Intel
Standard_DC4ads_cc_v5,Standard,DC4ads_cc_v5,GeneralPurposeConfidential,DCADCCV5,4,16,5,AMD
Standard_DC4ads_v5,Standard,DC4ads_v5,GeneralPurposeConfidential,DCADSv5,4,16,5,AMD
Standard_DC4ads_v6,Standard,DC4ads_v6,GeneralPurposeConfidential,DCadsv6,4,16,6,AMD
Standard_DC4as_cc_v5,Standard,DC4as_cc_v5,GeneralPurposeConfidential,DCACCV5,4,16,5,AMD
Standard_DC4as_v5,Standard,DC4as_v5,GeneralPurposeConfidential,DCASv5,4,16,5,AMD
Standard_DC4as_v6,Standard,DC4as_v6,GeneralPurposeConfidential,DCasv6,4,16,6,AMD
Standard_DC4ds_v3,Standard,DC4ds_v3,GeneralPurpose,DDCSv3,4,32,3,Intel
