Name,Tier,Size,Family,Series,vCPUs,MemoryGB,Generation,Architecture
Standard_E8bs_v5,Standard,E8bs_v5,MemoryOptimized,EBSv5,8,64,5,Intel
Standard_E8ds_v4,Standard,E8ds_v4,MemoryOptimized,EDSv4,8,64,4,Intel
Standard_E8ds_v5,Standard,E8ds_v5,MemoryOptimized,EDSv5,8,64,5,Intel
Standard_E8ds_v6,Standard,E8ds_v6,MemoryOptimized,Edsv6,8,64,6,Intel
Standard_E8ds_v7,Standard,E8ds_v7,MemoryOptimized,Edsv7,8,64,7,Intel
Standard_E8d_v4,Standard,E8d_v4,MemoryOptimized,EDv4,8,64,4,Intel
Standard_E8d_v5,Standard,E8d_v5,MemoryOptimized,EDv5,8,64,5,Intel
Standard_E8pds_v5,Standard,E8pds_v5,MemoryOptimized,EPDSv5,8,64,5,ARM
Standard_E8pds_v6,Standard,E8pds_v6,MemoryOptimized,Epdsv6,8,64,6,ARM
Standard_E8ps_v5,Standard,E8ps_v5,MemoryOptimized,EPSv5,8,64,5,ARM
Standard_E8ps_v6,Standard,E8ps_v6,MemoryOptimized,Epsv6,8,64,6,ARM
Standard_E8s_v3,Standard,E8s_v3,MemoryOptimized,ESv3,8,64,3,Intel
Standard_E8s_v4,Standard,E8s_v4,MemoryOptimized,ESv4,8,64,4,Intel
Standard_E8s_v5,Standard,E8s_v5,MemoryOptimized,ESv5,8,64,5,Intel
Standard_E8s_v6,Standard,E8s_v6,MemoryOptimized,Esv6,8,64,6,Intel
Standard_E8s_v7,Standard,E8s_v7,MemoryOptimized,Esv7,8,64,7,Intel
Standard_E8_v3,Standard,E8_v3,MemoryOptimized,Ev3,8,64,3,Intel
Standard_E8_v4,Standard,E8_v4,MemoryOptimized,Ev4,8,64,4,Intel
Standard_E8_v5,Standard,E8_v5,MemoryOptimized,Ev5,8,64,5,Intel
Standard_EC8ads_cc_v5,Standard,EC8ads_cc_v5,MemoryOptimizedConfidential,ECADCCV5,8,64,5,AMD
Standard_EC8ads_v5,Standard,EC8ads_v5,MemoryOptimizedConfidential,ECADSv5,8,64,5,AMD
Standard_EC8ads_v6,Standard,EC8ads_v6,MemoryOptimizedConfidential,ECadsv6,8,64,6,AMD
Standard_EC8as_cc_v5,Standard,EC8as_cc_v5,MemoryOptimizedConfidential,ECACCV5,8,64,5,AMD
Standard_EC8as_v5,Standard,EC8as_v5,MemoryOptimizedConfidential,ECASv5,8,64,5,AMD
Standard_EC8as_v6,Standard,EC8as_v6,MemoryOptimizedConfidential,ECasv6,8,64,6,AMD
Standard_F8,Standard,F8,ComputeOptimized,F,8,16,1,Intel
Standard_F8-2amds_v7,Standard,F8-2amds_v7,ComputeOptimized,Famdsv7,8,64,7,AMD
Standard_F8-2ams_v7,Standard,F8-2ams_v7,ComputeOptimized,Famsv7,8,64,7,AMD
Standard_F8-4amds_v7,Standard,F8-4amds_v7,ComputeOptimized,Famdsv7,8,64,7,AMD
Standard_F8-4ams_v7,Standard,F8-4ams_v7,ComputeOptimized,Famsv7,8,64,7,AMD
Standard_F8ads_v7,Standard,F8ads_v7,ComputeOptimized,Fadsv7,8,32,7,AMD
Standard_F8alds_v7,Standard,F8alds_v7,ComputeOptimized,Faldsv7,8,16,7,AMD
Standard_F8als_v6,Standard,F8als_v6,ComputeOptimized,Falsv6,8,16,6,AMD
Standard_F8als_v7,Standard,F8als_v7,ComputeOptimized,Falsv7,8,16,7,AMD
Standard_F8amds_v7,Standard,F8amds_v7,ComputeOptimized,Famdsv7,8,64,7,AMD
Standard_F8ams_v6,Standard,F8ams_v6,ComputeOptimized,Famsv6,8,64,6,AMD
Standard_F8ams_v7,Standard,F8ams_v7,ComputeOptimized,Famsv7,8,64,7,AMD
Standard_F8as_v6,Standard,F8as_v6,ComputeOptimized,Fasv6,8,32,6,AMD
Standard_F8as_v7,Standard,F8as_v7,ComputeOptimized,Fasv7,8,32,7,AMD
Standard_F8s,Standard,F8s,ComputeOptimized,FS,8,16,1,Intel
Standard_F8s_v2,Standard,F8s_v2,ComputeOptimized,FSv2,8,16,2,Intel
Standard_FX8-2mds_v2,Standard,FX8-2mds_v2,ComputeOptimized,FXmdsv2,8,168,2,Intel
Standard_FX8-2ms_v2,Standard,FX8-2ms_v2,ComputeOptimized,FXmsv2,8,168,2,Intel
Standard_FX8-4mds_v2,Standard,FX8-4mds_v2,ComputeOptimized,FXmdsv2,8,168,2,Intel
Standard_FX8-4ms_v2,Standard,FX8-4ms_v2,ComputeOptimized,FXmsv2,8,168,2,Intel
Standard_FX8mds_v2,Standard,FX8mds_v2,ComputeOptimized,FXmdsv2,8,168,2,Intel
Standard_FX8ms_v2,Standard,FX8ms_v2,ComputeOptimized,FXmsv2,8,168,2,Intel
Standard_L8aos_v4,Standard,L8aos_v4,StorageOptimized,Laosv4,8,64,4,AMD
Standard_L8as_v3,Standard,L8as_v3,StorageOptimized,LASv3,8,64,3,AMD
Standard_L8as_v4,Standard,L8as_v4,StorageOptimized,Lasv4,8,64,4,AMD
Standard_L8s_v2,Standard,L8s_v2,StorageOptimized,LSv2,8,64,2,Intel
Standard_L8s_v3,Standard,L8s_v3,StorageOptimized,LSv3,8,64,3,Intel
Standard_L8s_v4,Standard,L8s_v4,StorageOptimized,Lsv4,8,64,4,Intel
Standard_M8-2ms,Standard,M8-2ms,MemoryOptimized,MS,8,218.75,1,Intel
Standard_M8-4ms,Standard,M8-4ms,MemoryOptimized,MS,8,218.75,1,Intel
Standard_M8ms,Standard,M8ms,MemoryOptimized,MS,8,218.75,1,Intel
Standard_NC8as_T4_v3,Standard,NC8as_T4_v3,GPU,NCasT4_v3,8,56,3,AMD
Standard_NV8ads_V710_v5,Standard,NV8ads_V710_v5,GPU,NVads V710 v5,8,32,5,AMD
Standard_NV8as_v4,Standard,NV8as_v4,GraphicsOptimized,NVv4,8,28,4,AMD
Standard_NP10s,Standard,NP10s,FPGAInstances,NPS,10,168,1,Intel
Standard_DS11,Standard,DS11,GeneralPurpose,DS,2,14,1,Intel
Standard_DS11-1_v2,Standard,DS11-1_v2,GeneralPurpose,DSv2,2,14,2,Intel
Standard_DS11_v2,Standard,DS11_v2,GeneralPurpose,DSv2,2,14,2,Intel
Standard_B12ms,Standard,B12ms,Burstable,BS,12,48,1,Intel
Standard_DS12,Standard,DS12,GeneralPurpose,DS,4,28,1,Intel
Standard_DS12-1_v2,Standard,DS12-1_v2,GeneralPurpose,DSv2,4,28,2,Intel
Standard_DS12-2_v2,Standard,DS12-2_v2,GeneralPurpose,DSv2,4,28,2,Intel
Standard_DS12_v2,Standard,DS12_v2,GeneralPurpose,DSv2,4,28,2,Intel
Standard_FX12-6mds_v2,Standard,FX12-6mds_v2,ComputeOptimized,FXmdsv2,12,252,2,Intel
Standard_FX12-6ms_v2,Standard,FX12-6ms_v2,ComputeOptimized,FXmsv2,12,252,2,Intel
Standard_FX12mds,Standard,FX12mds,ComputeOptimized,FXMDVS,12,252,1,Intel
Standard_FX12mds_v2,Standard,FX12mds_v2,ComputeOptimized,FXmdsv2,12,252,2,Intel
Standard_FX12ms_v2,Standard,FX12ms_v2,ComputeOptimized,FXmsv2,12,252,2,Intel
Standard_L12aos_v4,Standard,L12aos_v4,StorageOptimized,Laosv4,12,96,4,AMD
Standard_M12ds_v3,Standard,M12ds_v3,MemoryOptimized,MDSv3,12,240,3,Intel
Standard_M12s_v3,Standard,M12s_v3,MemoryOptimized,MSv3,12,240,3,Intel
Standard_NC12s_v3,Standard,NC12s_v3,GPU,NCv3,12,224,3,Intel
Standard_NV12ads_A10_v5,Standard,NV12ads_A10_v5,GPU,NVadsA10 v5,12,110,5,AMD
Standard_NV12ads_V710_v5,Standard,NV12ads_V710_v5,GPU,NVads V710 v5,12,64,5,AMD
Standard_NV12s_v3,Standard,NV12s_v3,GraphicsOptimized,NVv3,12,112,3,Intel
Standard_DS13,Standard,DS13,GeneralPurpose,DS,8,56,1,Intel
Standard_DS13-2_v2,Standard,DS13-2_v2,GeneralPurpose,DSv2,8,56,2,Intel
Standard_DS13-4_v2,Standard,DS13-4_v2,GeneralPurpose,DSv2,8,56,2,Intel
Standard_DS13_v2,Standard,DS13_v2,GeneralPurpose,DSv2,8,56,2,Intel
Standard_DS14,Standard,DS14,GeneralPurpose,DS,16,112,1,Intel
Standard_DS14-4_v2,Standard,DS14-4_v2,GeneralPurpose,DSv2,16,112,2,Intel
Standard_DS14-8_v2,Standard,DS14-8_v2,GeneralPurpose,DSv2,16,112,2,Intel
Standard_DS14_v2,Standard,DS14_v2,GeneralPurpose,DSv2,16,112,2,Intel
Standard_DS15_v2,Standard,DS15_v2,GeneralPurpose,DSv2,20,140,2,Intel
Standard_B16als_v2,Standard,B16als_v2,Burstable,Basv2,16,32,2,AMD
Standard_B16as_v2,Standard,B16as_v2,Burstable,Basv2,16,64,2,AMD
Standard_B16ls_v2,Standard,B16ls_v2,Burstable,Bsv2,16,32,2,Intel
Standard_B16ms,Standard,B16ms,Burstable,BS,16,64,1,Intel
Standard_B16pls_v2,Standard,B16pls_v2,Burstable,Bpsv2,16,32,2,ARM
Standard_B16ps_v2,Standard,B16ps_v2,Burstable,Bpsv2,16,64,2,ARM
Standard_B16s_v2,Standard,B16s_v2,Burstable,Bsv2,16,64,2,Intel
Standard_D16ads_v5,Standard,D16ads_v5,GeneralPurpose,DADSv5,16,64,5,AMD
Standard_D16ads_v6,Standard,D16ads_v6,GeneralPurpose,Dadv6,16,64,6,AMD
Standard_D16ads_v7,Standard,D16ads_v7,GeneralPurpose,Dadsv7,16,64,7,AMD
Standard_D16alds_v6,Standard,D16alds_v6,GeneralPurpose,Daldv6,16,32,6,AMD
Standard_D16alds_v7,Standard,D16alds_v7,GeneralPurpose,Daldsv7,16,32,7,AMD
Standard_D16als_v6,Standard,D16als_v6,GeneralPurpose,Dalv6,16,32,6,AMD
Standard_D16als_v7,Standard,D16als_v7,GeneralPurpose,Dalsv7,16,32,7,AMD
Standard_D16as_v4,Standard,D16as_v4,GeneralPurpose,DASv4,16,64,4,AMD
Standard_D16as_v5,Standard,D16as_v5,GeneralPurpose,DASv5,16,64,5,AMD
Standard_D16as_v6,Standard,D16as_v6,GeneralPurpose,Dav6,16,64,6,AMD
Standard_D16as_v7,Standard,D16as_v7,GeneralPurpose,Dasv7,16,64,7,AMD
Standard_D16a_v4,Standard,D16a_v4,GeneralPurpose,DAv4,16,64,4,AMD
Standard_D16ds_v4,Standard,D16ds_v4,GeneralPurpose,DDSv4,16,64,4,Intel
Standard_D16ds_v5,Standard,D16ds_v5,GeneralPurpose,DDSv5,16,64,5,Intel
Standard_D16ds_v6,Standard,D16ds_v6,GeneralPurpose,Ddsv6,16,64,6,Intel
Standard_D16ds_v7,Standard,D16ds_v7,GeneralPurpose,Ddsv7,16,64,7,Intel
Standard_D16d_v4,Standard,D16d_v4,GeneralPurpose,DDv4,16,64,4,Intel
Standard_D16d_v5,Standard,D16d_v5,GeneralPurpose,DDv5,16,64,5,Intel
Standard_D16lds_v5,Standard,D16lds_v5,GeneralPurpose,DLDSv5,16,32,5,Intel
Standard_D16lds_v6,Standard,D16lds_v6,GeneralPurpose,Dldsv6,16,32,6,Intel
Standard_D16lds_v7,Standard,D16lds_v7,GeneralPurpose,Dldsv7,16,32,7,Intel
Standard_D16ls_v5,Standard,D16ls_v5,GeneralPurpose,DLSv5,16,32,5,Intel
Standard_D16ls_v6,Standard,D16ls_v6,GeneralPurpose,Dlsv6,16,32,6,Intel
Standard_D16ls_v7,Standard,D16ls_v7,GeneralPurpose,Dlsv7,16,32,7,Intel
Standard_D16pds_v5,Standard,D16pds_v5,GeneralPurpose,DPDSv5,16,64,5,ARM
Standard_D16pds_v6,Standard,D16pds_v6,GeneralPurpose,Dpdsv6,16,64,6,ARM
Standard_D16plds_v5,Standard,D16plds_v5,GeneralPurpose,DPLDSv5,16,32,5,ARM
Standard_D16plds_v6,Standard,D16plds_v6,GeneralPurpose,Dpldsv6,16,32,6,ARM
Standard_D16pls_v5,Standard,D16pls_v5,GeneralPurpose,DPLSv5,16,32,5,ARM
Standard_D16pls_v6,Standard,D16pls_v6,GeneralPurpose,Dplsv6,16,32,6,ARM
Standard_D16ps_v5,Standard,D16ps_v5,GeneralPurpose,DPSv5,16,64,5,ARM
Standard_D16ps_v6,Standard,D16ps_v6,GeneralPurpose,Dpsv6,16,64,6,ARM
Standard_D16s_v3,Standard,D16s_v3,GeneralPurpose,DSv3,16,64,3,Intel
Standard_D16s_v4,Standard,D16s_v4,GeneralPurpose,DSv4,16,64,4,Intel
Standard_D16s_v5,Standard,D16s_v5,GeneralPurpose,DSv5,16,64,5,Intel
Standard_D16s_v6,Standard,D16s_v6,GeneralPurpose,Dsv6,16,64,6,Intel
Standard_D16s_v7,Standard,D16s_v7,GeneralPurpose,Dsv7,16,64,7,Intel
Standard_D16_v3,Standard,D16_v3,GeneralPurpose,Dv3,16,64,3,Intel
Standard_D16_v4,Standard,D16_v4,GeneralPurpose,Dv4,16,64,4,Intel
Standard_D16_v5,Standard,D16_v5,GeneralPurpose,Dv5,16,64,5,Intel
Standard_DC16ads_cc_v5,Standard,DC16ads_cc_v5,GeneralPurposeConfidential,DCADCCV5,16,64,5,AMD
Standard_DC16ads_v5,Standard,DC16ads_v5,GeneralPurposeConfidential,DCADSv5,16,64,5,AMD
Standard_DC16ads_v6,Standard,DC16ads_v6,GeneralPurposeConfidential,DCadsv6,16,64,6,AMD
Standard_DC16as_cc_v5,Standard,DC16as_cc_v5,GeneralPurposeConfidential,DCACCV5,16,64,5,AMD
Standard_DC16as_v5,Standard,DC16as_v5,GeneralPurposeConfidential,DCASv5,16,64,5,AMD
Standard_DC16as_v6,Standard,DC16as_v6,GeneralPurposeConfidential,DCasv6,16,64,6,AMD
Standard_DC16ds_v3,Standard,DC16ds_v3,GeneralPurpose,DDCSv3,16,128,3,Intel
Standard_DC16s_v3,Standard,DC16s_v3,GeneralPurposeConfidential,DCSv3,16,128,3,Intel
Standard_E16-4ads_v5,Standard,E16-4ads_v5,MemoryOptimized,EADSv5,16,128,5,AMD
Standard_E16-4ads_v7,Standard,E16-4ads_v7,MemoryOptimized,Eadsv7,16,128,7,AMD
Standard_E16-4as_v4,Standard,E16-4as_v4,MemoryOptimized,EASv4,16,128,4,AMD
Standard_E16-4as_v5,Standard,E16-4as_v5,MemoryOptimized,EASv5,16,128,5,AMD
Standard_E16-4as_v7,Standard,E16-4as_v7,MemoryOptimized,Easv7,16,128,7,AMD
Standard_E16-4ds_v4,Standard,E16-4ds_v4,MemoryOptimized,EDSv4,16,128,4,Intel
Standard_E16-4ds_v5,Standard,E16-4ds_v5,MemoryOptimized,EDSv5,16,128,5,Intel
Standard_E16-4ds_v6,Standard,E16-4ds_v6,MemoryOptimized,Edsv6,16,128,6,Intel
Standard_E16-4s_v3,Standard,E16-4s_v3,MemoryOptimized,ESv3,16,128,3,Intel
Standard_E16-4s_v4,Standard,E16-4s_v4,MemoryOptimized,ESv4,16,128,4,Intel
Standard_E16-4s_v5,Standard,E16-4s_v5,MemoryOptimized,ESv5,16,128,5,Intel
Standard_E16-4s_v6,Standard,E16-4s_v6,MemoryOptimized,Esv6,16,128,6,Intel
Standard_E16-8ads_v5,Standard,E16-8ads_v5,MemoryOptimized,EADSv5,16,128,5,AMD
Standard_E16-8ads_v7,Standard,E16-8ads_v7,MemoryOptimized,Eadsv7,16,128,7,AMD
Standard_E16-8as_v4,Standard,E16-8as_v4,MemoryOptimized,EASv4,16,128,4,AMD
Standard_E16-8as_v5,Standard,E16-8as_v5,MemoryOptimized,EASv5,16,128,5,AMD
Standard_E16-8as_v7,Standard,E16-8as_v7,MemoryOptimized,Easv7,16,128,7,AMD
Standard_E16-8ds_v4,Standard,E16-8ds_v4,MemoryOptimized,EDSv4,16,128,4,Intel
Standard_E16-8ds_v5,Standard,E16-8ds_v5,MemoryOptimized,EDSv5,16,128,5,Intel
Standard_E16-8ds_v6,Standard,E16-8ds_v6,MemoryOptimized,Edsv6,16,128,6,Intel
Standard_E16-8s_v3,Standard,E16-8s_v3,MemoryOptimized,ESv3,16,128,3,Intel
Standard_E16-8s_v4,Standard,E16-8s_v4,MemoryOptimized,ESv4,16,128,4,Intel
Standard_E16-8s_v5,Standard,E16-8s_v5,MemoryOptimized,ESv5,16,128,5,Intel
Standard_E16-8s_v6,Standard,E16-8s_v6,MemoryOptimized,Esv6,16,128,6,Intel
Standard_E16ads_v5,Standard,E16ads_v5,MemoryOptimized,EADSv5,16,128,5,AMD
Standard_E16ads_v6,Standard,E16ads_v6,MemoryOptimized,Eadv6,16,128,6,AMD
Standard_E16ads_v7,Standard,E16ads_v7,MemoryOptimized,Eadsv7,16,128,7,AMD
Standard_E16as_v4,Standard,E16as_v4,MemoryOptimized,EASv4,16,128,4,AMD
Standard_E16as_v5,Standard,E16as_v5,MemoryOptimized,EASv5,16,128,5,AMD
Standard_E16as_v6,Standard,E16as_v6,MemoryOptimized,Eav6,16,128,6,AMD
Standard_E16as_v7,Standard,E16as_v7,MemoryOptimized,Easv7,16,128,7,AMD
Standard_E16a_v4,Standard,E16a_v4,MemoryOptimized,EAv4,16,128,4,AMD
Standard_E16bds_v5,Standard,E16bds_v5,MemoryOptimized,EBDSv5,16,128,5,Intel
Standard_E16bs_v5,Standard,E16bs_v5,MemoryOptimized,EBSv5,16,128,5,Intel
Standard_E16ds_v4,Standard,E16ds_v4,MemoryOptimized,EDSv4,16,128,4,Intel
Standard_E16ds_v5,Standard,E16ds_v5,MemoryOptimized,EDSv5,16,128,5,Intel
Standard_E16ds_v6,Standard,E16ds_v6,MemoryOptimized,Edsv6,16,128,6,Intel
Standard_E16ds_v7,Standard,E16ds_v7,MemoryOptimized,Edsv7,16,128,7,Intel
Standard_E16d_v4,Standard,E16d_v4,MemoryOptimized,EDv4,16,128,4,Intel
Standard_E16d_v5,Standard,E16d_v5,MemoryOptimized,EDv5,16,128,5,Intel
Standard_E16pds_v5,Standard,E16pds_v5,MemoryOptimized,EPDSv5,16,128,5,ARM
Standard_E16pds_v6,Standard,E16pds_v6,MemoryOptimized,Epdsv6,16,128,6,ARM
Standard_E16ps_v5,Standard,E16ps_v5,MemoryOptimized,EPSv5,16,128,5,ARM
Standard_E16ps_v6,Standard,E16ps_v6,MemoryOptimized,Epsv6,16,128,6,ARM
Standard_E16s_v3,Standard,E16s_v3,MemoryOptimized,ESv3,16,128,3,Intel
Standard_E16s_v4,Standard,E16s_v4,MemoryOptimized,ESv4,16,128,4,Intel
Standard_E16s_v5,Standard,E16s_v5,MemoryOptimized,ESv5,16,128,5,Intel
Standard_E16s_v6,Standard,E16s_v6,MemoryOptimized,Esv6,16,128,6,Intel
Standard_E16s_v7,Standard,E16s_v7,MemoryOptimized,Esv7,16,128,7,Intel
Standard_E16_v3,Standard,E16_v3,MemoryOptimized,Ev3,16,128,3,Intel
Standard_E16_v4,Standard,E16_v4,MemoryOptimized,Ev4,16,128,4,Intel
Standard_E16_v5,Standard,E16_v5,MemoryOptimized,Ev5,16,128,5,Intel
Standard_EC16ads_cc_v5,Standard,EC16ads_cc_v5,MemoryOptimizedConfidential,ECADCCV5,16,128,5,AMD
Standard_EC16ads_v5,Standard,EC16ads_v5,MemoryOptimizedConfidential,ECADSv5,16,128,5,AMD
Standard_EC16ads_v6,Standard,EC16ads_v6,MemoryOptimizedConfidential,ECadsv6,16,128,6,AMD
Standard_EC16as_cc_v5,Standard,EC16as_cc_v5,MemoryOptimizedConfidential,ECACCV5,16,128,5,AMD
Standard_EC16as_v5,Standard,EC16as_v5,MemoryOptimizedConfidential,ECASv5,16,128,5,AMD
Standard_EC16as_v6,Standard,EC16as_v6,MemoryOptimizedConfidential,ECasv6,16,128,6,AMD
Standard_F16,Standard,F16,ComputeOptimized,F,16,32,1,Intel
Standard_F16-4amds_v7,Standard,F16-4amds_v7,ComputeOptimized,Famdsv7,16,128,7,AMD
Standard_F16-4ams_v7,Standard,F16-4ams_v7,ComputeOptimized,Famsv7,16,128,7,AMD
Standard_F16-8amds_v7,Standard,F16-8amds_v7,ComputeOptimized,Famdsv7,16,128,7,AMD
Standard_F16-8ams_v7,Standard,F16-8ams_v7,ComputeOptimized,Famsv7,16,128,7,AMD
Standard_F16ads_v7,Standard,F16ads_v7,ComputeOptimized,Fadsv7,16,64,7,AMD
Standard_F16alds_v7,Standard,F16alds_v7,ComputeOptimized,Faldsv7,16,32,7,AMD
Standard_F16als_v6,Standard,F16als_v6,ComputeOptimized,Falsv6,16,32,6,AMD
Standard_F16als_v7,Standard,F16als_v7,ComputeOptimized,Falsv7,16,32,7,AMD
Standard_F16amds_v7,Standard,F16amds_v7,ComputeOptimized,Famdsv7,16,128,7,AMD
Standard_F16ams_v6,Standard,F16ams_v6,ComputeOptimized,Famsv6,16,128,6,AMD
Standard_F16ams_v7,Standard,F16ams_v7,ComputeOptimized,Famsv7,16,128,7,AMD
Standard_F16as_v6,Standard,F16as_v6,ComputeOptimized,Fasv6,16,64,6,AMD
Standard_F16as_v7,Standard,F16as_v7,ComputeOptimized,Fasv7,16,64,7,AMD
Standard_F16s,Standard,F16s,ComputeOptimized,FS,16,32,1,Intel
Standard_F16s_v2,Standard,F16s_v2,ComputeOptimized,FSv2,16,32,2,Intel
Standard_FX16-4mds_v2,Standard,FX16-4mds_v2,ComputeOptimized,FXmdsv2,16,336,2,Intel
Standard_FX16-4ms_v2,Standard,FX16-4ms_v2,ComputeOptimized,FXmsv2,16,336,2,Intel
Standard_FX16-8mds_v2,Standard,FX16-8mds_v2,ComputeOptimized,FXmdsv2,16,336,2,Intel
Standard_FX16-8ms_v2,Standard,FX16-8ms_v2,ComputeOptimized,FXmsv2,16,336,2,Intel
Standard_FX16mds_v2,Standard,FX16mds_v2,ComputeOptimized,FXmdsv2,16,336,2,Intel
Standard_FX16ms_v2,Standard,FX16ms_v2,ComputeOptimized,FXmsv2,16,336,2,Intel
Standard_L16aos_v4,Standard,L16aos_v4,StorageOptimized,Laosv4,16,128,4,AMD
Standard_L16as_v3,Standard,L16as_v3,StorageOptimized,LASv3,16,128,3,AMD
Standard_L16as_v4,Standard,L16as_v4,StorageOptimized,Lasv4,16,128,4,AMD
Standard_L16s_v2,Standard,L16s_v2,StorageOptimized,LSv2,16,128,2,Intel
Standard_L16s_v3,Standard,L16s_v3,StorageOptimized,LSv3,16,128,3,Intel
Standard_L16s_v4,Standard,L16s_v4,StorageOptimized,Lsv4,16,128,4,Intel
Standard_M16-4ms,Standard,M16-4ms,MemoryOptimized,MS,16,437.5,1,Intel
Standard_M16-8ms,Standard,M16-8ms,MemoryOptimized,MS,16,437.5,1,Intel
Standard_M16bds_v3,Standard,M16bds_v3,MemoryOptimized,MBDSv3,16,128,3,Intel
Standard_M16bs_v3,Standard,M16bs_v3,MemoryOptimized,MBSv3,16,128,3,Intel
Standard_M16ms,Standard,M16ms,MemoryOptimized,MS,16,437.5,1,Intel
Standard_NC16as_T4_v3,Standard,NC16as_T4_v3,GPU,NCasT4_v3,16,110,3,AMD
Standard_NV16as_v4,Standard,NV16as_v4,GraphicsOptimized,NVv4,16,56,4,AMD
Standard_NV18ads_A10_v5,Standard,NV18ads_A10_v5,GPU,NVadsA10 v5,18,220,5,AMD
Standard_B20ms,Standard,B20ms,Burstable,BS,20,80,1,Intel
Standard_E20ads_v5,Standard,E20ads_v5,MemoryOptimized,EADSv5,20,160,5,AMD
Standard_E20ads_v6,Standard,E20ads_v6,MemoryOptimized,Eadv6,20,160,6,AMD
Standard_E20as_v4,Standard,E20as_v4,MemoryOptimized,EASv4,20,160,4,AMD
Standard_E20as_v5,Standard,E20as_v5,MemoryOptimized,EASv5,20,160,5,AMD
Standard_E20as_v6,Standard,E20as_v6,MemoryOptimized,Eav6,20,160,6,AMD
Standard_E20a_v4,Standard,E20a_v4,MemoryOptimized,EAv4,20,160,4,AMD
Standard_E20ds_v4,Standard,E20ds_v4,MemoryOptimized,EDSv4,20,160,4,Intel
Standard_E20ds_v5,Standard,E20ds_v5,MemoryOptimized,EDSv5,20,160,5,Intel
Standard_E20ds_v6,Standard,E20ds_v6,MemoryOptimized,Edsv6,20,160,6,Intel
Standard_E20ds_v7,Standard,E20ds_v7,MemoryOptimized,Edsv7,20,160,7,Intel
Standard_E20d_v4,Standard,E20d_v4,MemoryOptimized,EDv4,20,160,4,Intel
Standard_E20d_v5,Standard,E20d_v5,MemoryOptimized,EDv5,20,160,5,Intel
Standard_E20pds_v5,Standard,E20pds_v5,MemoryOptimized,EPDSv5,20,160,5,ARM
Standard_E20ps_v5,Standard,E20ps_v5,MemoryOptimized,EPSv5,20,160,5,ARM
Standard_E20s_v3,Standard,E20s_v3,MemoryOptimized,ESv3,20,160,3,Intel
Standard_E20s_v4,Standard,E20s_v4,MemoryOptimized,ESv4,20,160,4,Intel
Standard_E20s_v5,Standard,E20s_v5,MemoryOptimized,ESv5,20,160,5,Intel
Standard_E20s_v6,Standard,E20s_v6,MemoryOptimized,Esv6,20,160,6,Intel
Standard_E20s_v7,Standard,E20s_v7,MemoryOptimized,Esv7,20,160,7,Intel
Standard_E20_v3,Standard,E20_v3,MemoryOptimized,Ev3,20,160,3,Intel
Standard_E20_v4,Standard,E20_v4,MemoryOptimized,Ev4,20,160,4,Intel
Standard_E20_v5,Standard,E20_v5,MemoryOptimized,Ev5,20,160,5,Intel
Standard_EC20ads_cc_v5,Standard,EC20ads_cc_v5,MemoryOptimizedConfidential,ECADCCV5,20,160,5,AMD
Standard_EC20ads_v5,Standard,EC20ads_v5,MemoryOptimizedConfidential,ECADSv5,20,160,5,AMD
Standard_EC20as_cc_v5,Standard,EC20as_cc_v5,MemoryOptimizedConfidential,ECACCV5,20,160,5,AMD
Standard_EC20as_v5,Standard,EC20as_v5,MemoryOptimizedConfidential,ECASv5,20,160,5,AMD
Standard_NP20s,Standard,NP20s,FPGAInstances,NPS,20,336,1,Intel
Standard_DC24ds_v3,Standard,DC24ds_v3,GeneralPurpose,DDCSv3,24,192,3,Intel
Standard_DC24s_v3,Standard,DC24s_v3,GeneralPurposeConfidential,DCSv3,24,192,3,Intel
Standard_FX24-12mds_v2,Standard,FX24-12mds_v2,ComputeOptimized,FXmdsv2,24,504,2,Intel
Standard_FX24-12ms_v2,Standard,FX24-12ms_v2,ComputeOptimized,FXmsv2,24,504,2,Intel
Standard_FX24-6mds_v2,Standard,FX24-6mds_v2,ComputeOptimized,FXmdsv2,24,504,2,Intel
Standard_FX24-6ms_v2,Standard,FX24-6ms_v2,ComputeOptimized,FXmsv2,24,504,2,Intel
Standard_FX24mds,Standard,FX24mds,ComputeOptimized,FXMDVS,24,504,1,Intel
Standard_FX24mds_v2,Standard,FX24mds_v2,ComputeOptimized,FXmdsv2,24,504,2,Intel
Standard_FX24ms_v2,Standard,FX24ms_v2,ComputeOptimized,FXmsv2,24,504,2,Intel
Standard_L24aos_v4,Standard,L24aos_v4,StorageOptimized,Laosv4,24,192,4,AMD
Standard_M24ds_v3,Standard,M24ds_v3,MemoryOptimized,MDSv3,24,480,3,Intel
Standard_M24s_v3,Standard,M24s_v3,MemoryOptimized,MSv3,24,480,3,Intel
Standard_NC24ads_A100_v4,Standard,NC24ads_A100_v4,GPU,NC A100 v4,24,220,4,AMD
Standard_NC24rs_v3,Standard,NC24rs_v3,GPU,NCv3,24,448,3,Intel
Standard_NC24s_v3,Standard,NC24s_v3,GPU,NCv3,24,448,3,Intel
Standard_NV24ads_V710_v5,Standard,NV24ads_V710_v5,GPU,NVads V710 v5,24,128,5,AMD
Standard_NV24s_v3,Standard,NV24s_v3,GraphicsOptimized,NVv3,24,224,3,Intel
Standard_B32als_v2,Standard,B32als_v2,Burstable,Basv2,32,64,2,AMD
